ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (g),Longitud (cm),Ancho (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición
11,simple,H-0290,ROMPECABEZAS ESTADO DE TAMAULIPAS,1,0,visible,,,,,taxable,,1,19,3,0,0,150,40,28,3,1,,134.48,156,Rompecabezas,Rompecabezas,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/H-0290.jpg,,,,,,,,,0
12,simple,H-0351,ROMPECABEZAS EL BOTE DE VELA S/M GDE. 28 X 21 CM,1,0,visible,,,,,taxable,,1,10,3,0,0,,,,,,,134.48,156,Rompecabezas,Rompecabezas,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/H-0351.jpg,,,,,,,,,0
13,simple,H-0356,ROMPECABEZAS EL HELICOPTERO S/M GDE. 28 X 21 CM,1,0,visible,,,,,taxable,,1,5,3,0,0,,,,,,,134.48,156,Rompecabezas,Rompecabezas,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/H-0356.jpg,,,,,,,,,0
14,simple,H-0361,ROMPECABEZAS EL AVION S/M GDE. 28 X 21 CM,1,0,visible,,,,,taxable,,1,20,3,0,0,,,,,,,134.48,156,Rompecabezas,Rompecabezas,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/H-0361.jpg,,,,,,,,,0
15,simple,H-0366,ROMPECABEZAS EL BARCO S/M GDE. 28 X 21 CM,1,0,visible,,,,,taxable,,1,15,3,0,0,,,,,,,134.48,156,Rompecabezas,Rompecabezas,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/H-0366.jpg,,,,,,,,,0
16,simple,H-0371,ROMPECABEZAS EL TREN S/M GDE. 28 X 21 CM,1,0,visible,,,,,taxable,,1,10,3,0,0,,,,,,,134.48,156,Rompecabezas,Rompecabezas,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/H-0371.jpg,,,,,,,,,0
17,simple,H-0376,ROMPECABEZAS EL CAMION S/M GDE.28 X 21 CM,1,0,visible,,,,,taxable,,1,19,3,0,0,,,,,,,101.72,118,Rompecabezas,Rompecabezas,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/H-0376.jpg,,,,,,,,,0
18,simple,H-0377,ROMPECABEZAS LAS FRUTAS S/M GDE. 28 X 21 CM,1,0,visible,,,,,taxable,,1,20,3,0,0,,,,,,,101.72,118,Rompecabezas,Rompecabezas,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/H-0377.jpg,,,,,,,,,0
19,simple,H-0378,ROMPECABEZAS LAS VERDURAS S/M GDE. 28 X 21 CM,1,0,visible,,,,,taxable,,1,3,3,0,0,,,,,,,101.72,118,Rompecabezas,Rompecabezas,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/H-0378.jpg,,,,,,,,,0
20,simple,H-0381,ROMPECABEZAS LA BALLENA S/M CH. 21.5 X 17 CM,1,0,visible,,,,,taxable,,1,2,3,0,0,,,,,,,101.72,118,Rompecabezas,Rompecabezas,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/H-0381.jpg,,,,,,,,,0
21,simple,H-0382,ROMPECABEZAS EL CABALLO S/M CH. 21.5 X 17 CM,1,0,visible,,,,,taxable,,1,1,3,0,0,,,,,,,101.72,118,Rompecabezas,Rompecabezas,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/H-0382.jpg,,,,,,,,,0
22,simple,H-0383,ROMPECABEZAS EL CARACOL S/M CH. 21.5 X 17 CM,1,0,visible,,,,,taxable,,1,10,3,0,0,,,,,,,101.72,118,Rompecabezas,Rompecabezas,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/H-0383.jpg,,,,,,,,,0
23,simple,J-0126,MEMOPARES DE ALIMENTOS,1,0,visible,,,,,taxable,,1,11,3,0,0,,,,,,,107.76,125,Memopares,Memopares,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0126.jpg,,,,,,,,,0
24,simple,J-0127,MEMOPARES INSTRUMENTOS MUSICALES,1,0,visible,,,,,taxable,,1,12,3,0,0,,,,,,,107.76,125,Memopares,Memopares,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0127.jpg,,,,,,,,,0
25,simple,J-0128,MEMOPARES DE VOCALES,1,0,visible,,,,,taxable,,1,13,3,0,0,,,,,,,107.76,125,Memopares,Memopares,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0128.jpg,,,,,,,,,0
26,simple,J-0129,MEMOPARES  ASOCIACION DE CUERPOS GEOMETRICOS,1,0,visible,,,,,taxable,,1,14,3,0,0,,,,,,,107.76,125,Memopares,Memopares,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0129.jpg,,,,,,,,,0
27,simple,J-0130,MEMOPARES ANIMALES GRANJA Y DERIVADOS,1,0,visible,,,,,taxable,,1,15,3,0,0,,,,,,,107.76,125,Memopares,Memopares,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0130.jpg,,,,,,,,,0
28,simple,J-0131,MEMOPARES ANIMALES,1,0,visible,,,,,taxable,,1,16,3,0,0,,,,,,,107.76,125,Memopares,Memopares,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0131jpg,,,,,,,,,0
29,simple,J-0132,MEMORY GAME ANIMALS,1,0,visible,,,,,taxable,,1,17,3,0,0,,,,,,,107.76,125,Memopares,Memopares,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0132.jpg,,,,,,,,,0
30,simple,J-0133,MEMOPARES ASOCIACION MITADES ANIMALES,1,0,visible,,,,,taxable,,1,18,3,0,0,,,,,,,107.76,125,Memopares,Memopares,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0133.jpg,,,,,,,,,0
31,simple,J-0134,MEMOPARES DE REFRANES,1,0,visible,,,,,taxable,,1,19,3,0,0,,,,,,,171.55,199,Memopares,Memopares,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0134.jpg,,,,,,,,,0
32,simple,J-0135,MEMOPARES AREAS Y SUPERFICIES,1,0,visible,,,,,taxable,,1,20,3,0,0,,,,,,,107.76,125,Memopares,Memopares,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0135.jpg,,,,,,,,,0
33,simple,J-0136,MEMOPARES DE COLORES,1,0,visible,,,,,taxable,,1,21,3,0,0,,,,,,,107.76,125,Memopares,Memopares,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0136.jpg,,,,,,,,,0
34,simple,J-0137,MEMOPARES FRUTAS VERDURAS Y ANIMALES,1,0,visible,,,,,taxable,,1,22,3,0,0,,,,,,,118.1,137,Memopares,Memopares,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0137.jpg,,,,,,,,,0
35,simple,J-0112,DOMINO ASOCIACION FIGURAS GEOMETRICAS,1,0,visible,,,,,taxable,,1,23,3,0,0,,,,,,,150.86,175,Dominos,Dominos,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0112.jpg,,,,,,,,,0
36,simple,J-0113,DOMINO ANIMALES DE LA SELVA,1,0,visible,,,,,taxable,,1,24,3,0,0,,,,,,,150.86,175,Dominos,Dominos,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0113.jpg,,,,,,,,,0
37,simple,J-0114,DOMINO JUGUETES,1,0,visible,,,,,taxable,,1,25,3,0,0,,,,,,,150.86,175,Dominos,Dominos,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0114.jpg,,,,,,,,,0
38,simple,J-0115,DOMINO PARTES DEL CUERPO HUMANO,1,0,visible,,,,,taxable,,1,26,3,0,0,,,,,,,150.86,175,Dominos,Dominos,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0115.jpg,,,,,,,,,0
39,simple,J-0116,DOMINO PRENDAS DE VESTIR FOTO,1,0,visible,,,,,taxable,,1,27,3,0,0,,,,,,,150.86,175,Dominos,Dominos,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0116.jpg,,,,,,,,,0
40,simple,J-0119,DOMINO CIRCO,1,0,visible,,,,,taxable,,1,28,3,0,0,,,,,,,150.86,175,Dominos,Dominos,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0119.jpg,,,,,,,,,0
41,simple,J-0120,DOMINO UNIVERSO,1,0,visible,,,,,taxable,,1,29,3,0,0,,,,,,,150.86,175,Dominos,Dominos,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0120.jpg,,,,,,,,,0
42,simple,J-0121,DOMINO ABECEDARIO DE ASOCIACION,1,0,visible,,,,,taxable,,1,30,3,0,0,,,,,,,150.86,175,Dominos,Dominos,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0121.jpg,,,,,,,,,0
43,simple,J-0122,DOMINO TEXTO FRUTAS GRANDE,1,0,visible,,,,,taxable,,1,31,3,0,0,,,,,,,150.86,175,Dominos,Dominos,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0122.jpg,,,,,,,,,0
44,simple,J-0123,DOMINO ANIMALES DEL MAR,1,0,visible,,,,,taxable,,1,32,3,0,0,,,,,,,150.86,175,Dominos,Dominos,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0123.jpg,,,,,,,,,0
45,simple,J-0124,DOMINO GIGANTE DE COLORES,1,0,visible,,,,,taxable,,1,33,3,0,0,,,,,,,240.52,279,Dominos,Dominos,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0124.jpg,,,,,,,,,0
46,simple,J-0125,DOMINO GIGANTE DE COLORES AVES,1,0,visible,,,,,taxable,,1,34,3,0,0,,,,,,,240.52,279,Dominos,Dominos,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0125.jpg,,,,,,,,,0
47,simple,J-0301,TABLERO ABECEDARIO CURSIVO,1,0,visible,,,,,taxable,,1,35,3,0,0,,,,,,,131.03,152,Tableros,Tableros,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0301.jpg,,,,,,,,,0
48,simple,J-0306,TABLERO ABECEDARIO SCRIPT,1,0,visible,,,,,taxable,,1,36,3,0,0,,,,,,,131.03,152,Tableros,Tableros,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0306.jpg,,,,,,,,,0
49,simple,J-0311,TABLERO ALFAMOVIL,1,0,visible,,,,,taxable,,1,37,3,0,0,,,,,,,137.93,160,Tableros,Tableros,,https://ameb.tech/educatodo/wp-content/uploads/2020/04/J-0311.jpg,,,,,,,,,0
